n,step_ratio,pattern,family,method_label,threshold_mode,threshold_range,gain_scheme,feedback_noise_alpha,feedback_bias_alpha,R,R_abs,R2,R2_norm,R2_max_norm,avg_switch_noidle,R_comparator,R_abs_comparator,comparator,log_R_ratio,log_R_abs_ratio
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.0,0.05,1.71718235,210.66348182,3.69777622,1.84888809,3.66300909,115.94394,1.70456729,213.91038376,CT,0.007373489285991066,-0.015295172416196828
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.0,0.1,1.65571194,203.87215367,3.64862726,1.82431367,3.78669215,130.85548,1.7114958999999998,213.50607598,CT,-0.03313669186900701,-0.04617219149539541
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.0,0.2,1.6310065299999998,195.76407704,3.71099608,1.85549805,4.13925027,156.76774,1.74010155,212.75016188,CT,-0.06474614628281718,-0.08320828270211411
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.05,0.0,1.75892517,215.27904658,3.76417329,1.88208667,3.6819801,108.47462,1.70722496,214.08966351,CT,0.02983370174432783,0.005540162029659047
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.05,0.05,1.71638357,210.4205011,3.69855394,1.84927699,3.72144991,117.77072,1.70673141,213.6659058,CT,0.005639416518015215,-0.01530569244285298
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.05,0.1,1.65506994,203.615795,3.64901616,1.82450813,3.83744791,132.88121999999998,1.71244596,213.27343905,CT,-0.034079466697119844,-0.04634023356080676
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.05,0.2,1.63503397,195.545659,3.71448946,1.85724472,4.20587733,159.34879999999998,1.73978286,212.49237668,CT,-0.06209673144388947,-0.08311221124489185
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.1,0.0,1.7620393,214.78769248,3.77301289,1.88650639,3.82690275,111.49042,1.7120822999999998,213.4705151,CT,0.02876148247101117,0.006151342858469305
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.1,0.05,1.71545085,209.86017093,3.70222617,1.85111304,3.87152731,121.04348,1.7106684200000002,213.06803231,CT,0.0027917493404330377,-0.015170059003559788
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.1,0.1,1.65438597,203.05639297,3.65115331,1.82557665,3.99313616,136.44477999999998,1.71476294,212.63761624,CT,-0.0358449187782138,-0.04610564624872295
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.1,0.2,1.64272975,195.01917176,3.72208448,1.86104225,4.38285281,163.92308,1.73905805,211.88642643,CT,-0.056984276239619054,-0.08295253628471524
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.2,0.0,1.7644517,212.4339776,3.78962794,1.89481397,4.238727180000001,119.26792,1.7167623900000002,210.994134,CT,0.027399804947007965,0.006800914300396329
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.2,0.05,1.71058031,207.47112176,3.71129348,1.85564683,4.30505707,129.13476,1.71433704,210.57279614,CT,-0.0021937647672796955,-0.014839260487468083
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.2,0.1,1.65493497,200.67135644,3.66219797,1.83109894,4.4679280299999995,145.45364,1.71646106,210.16767055,CT,-0.03650293295497036,-0.0462371160002551
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.2,0.2,1.65748421,192.85559948999995,3.74306609,1.87153302,4.845087260000001,174.30957999999998,1.73492636,209.40758474,CT,-0.04566405205669351,-0.08234079937871469
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.4,0.0,1.73915692,202.22053687,3.802577780000001,1.90128895,5.03279381,143.70048,1.69646151,201.36379384,CT,0.024855849970878658,0.004245676810330614
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.4,0.05,1.6935193899999998,197.58199652,3.73544464,1.86772238,5.13177157,153.68788,1.69370416,200.95418352,CT,-0.00010909820238079709,-0.01692326895543796
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.4,0.1,1.66200816,191.21380843,3.70884282,1.85442145,5.2925713199999995,170.9055,1.69482346,200.52005996,CT,-0.019551975847245873,-0.04752207358604846
4,1.5,random,PTA,PTA-HT1,clamped,HT1,Global,0.4,0.2,1.68643613,184.77966079,3.80358623,1.90179312,5.7334562600000005,198.97434,1.70964302,199.6539814,CT,-0.013667085015927853,-0.07742168271842355
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.0,0.0,1.70468603,210.7297421,3.64881181,1.8244059,3.51102464,103.60748,1.70496999,214.32383594,CT,-0.00016656225671495066,-0.016911653898366928
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.0,0.05,1.68330879,206.27353136999997,3.63533543,1.81766768,3.64102747,112.69906,1.70456729,213.91038376,CT,-0.012549915354486641,-0.036354049639869136
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.0,0.1,1.66879596,201.25440405,3.69492254,1.8474613,3.8482092,126.75538,1.7114958999999998,213.50607598,CT,-0.02526539906558863,-0.05909549164895459
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.0,0.2,1.69260957,195.01579553,3.87768554,1.93884276,4.27225036,153.5375,1.74010155,212.75016188,CT,-0.0276720113311234,-0.08703797034510859
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.05,0.0,1.7050651099999998,210.45312729,3.6509007,1.82545039,3.57776086,104.82866,1.70722496,214.08966351,CT,-0.0012659241999562025,-0.017131960514797165
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.05,0.05,1.68274648,205.9980509,3.63680033,1.81840013,3.70358781,114.03964,1.70673141,213.6659058,CT,-0.014152817118144336,-0.03654690015344603
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.05,0.1,1.66812846,201.00534972000003,3.69393407,1.84696707,3.90233725,128.35926,1.71244596,213.27343905,CT,-0.026220419092367775,-0.05924357058629595
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.05,0.2,1.6954837,194.77616011,3.87741361,1.93870679,4.37022846,155.78304,1.73978286,212.49237668,CT,-0.025792243481616992,-0.087055110920188
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.1,0.0,1.70615781,209.78813225,3.65678299,1.82839154,3.72275626,107.33628,1.7120822999999998,213.4705151,CT,-0.00346640127182701,-0.017400593161844048
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.1,0.05,1.68166831,205.4208117,3.641106,1.82055299,3.86407716,116.76136,1.7106684200000002,213.06803231,CT,-0.017097840684159694,-0.036550900081909594
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.1,0.1,1.66762822,200.38177805,3.69526629,1.84763319,4.0665135900000005,131.60268,1.71476294,212.63761624,CT,-0.02787245425365966,-0.059364947411290024
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.1,0.2,1.70077929,194.17506239,3.87673584,1.93836788,4.56412717,159.97388,1.73905805,211.88642643,CT,-0.022257064159953266,-0.0872902711198813
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.2,0.0,1.70465621,207.23775988,3.66866284,1.83433137,4.101176720000001,115.0093,1.7167623900000002,210.994134,CT,-0.007076731577488638,-0.017963599556802396
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.2,0.05,1.67567283,203.03930328,3.64983671,1.82491839,4.28481508,124.6333,1.71433704,210.57279614,CT,-0.022811666110875498,-0.03643184571379239
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.2,0.1,1.66550581,197.93557046,3.70084627,1.85042312,4.54384502,140.72585999999998,1.71646106,210.16767055,CT,-0.030135780873222807,-0.059964067308588206
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.2,0.2,1.7125106,191.98110418,3.88592634,1.94296313,5.05796137,170.48758,1.73492636,209.40758474,CT,-0.013004487777915547,-0.08688556762394135
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.4,0.0,1.68266604,197.44041209,3.68836926,1.84418458,4.8836294,139.32118,1.69646151,201.36379384,CT,-0.008165152951937638,-0.019676363849654984
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.4,0.05,1.65968692,193.56530046,3.67490733,1.83745369,5.058809780000001,149.56102,1.69370416,200.95418352,CT,-0.020288958901847395,-0.037462013772488735
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.4,0.1,1.66547904,188.67905911000005,3.73161883,1.86580938,5.36688196,167.00696,1.69482346,200.52005996,CT,-0.017465788252700704,-0.06086681971122496
4,1.5,random,PTA,PTA-HT1,latent,HT1,Global,0.4,0.2,1.73129457,184.02859527,3.91898127,1.95949073,5.90645427,196.40506,1.70964302,199.6539814,CT,0.01258484653926277,-0.08149462059838221
