comparator,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_ratio,ci_low_log_R_ratio,ci_high_log_R_ratio,median_log_R_abs_ratio,ci_low_log_R_abs_ratio,ci_high_log_R_abs_ratio,median_R_ratio_reduction_percent,ci_low_R_ratio_reduction_percent,ci_high_R_ratio_reduction_percent,median_R_abs_ratio_reduction_percent,ci_low_R_abs_ratio_reduction_percent,ci_high_R_abs_ratio_reduction_percent,R_pta_lower,R_abs_pta_lower
SBTA,0.0,0.1,288,24,-0.3937304184794632,-0.5399158464706104,-0.2616351127926306,-0.12299511537583319,-0.33415199868856266,-0.06988543556103899,32.54641258614227,23.020814033033453,41.72027052403114,11.573201813297407,6.7499354800110485,28.40550487373389,0.9722222222222222,0.9236111111111112
SBTA,0.0,0.2,288,24,-0.38216225973992324,-0.5308696268765515,-0.19953109794965548,-0.17558337359715254,-0.598251545500238,-0.08996058596746911,31.761567928048684,18.088525237233966,41.19066745209311,16.103255347642488,8.603279230541471,45.022795235804914,0.8263888888888888,0.8263888888888888
SBTA,0.05,0.0,288,24,-0.294218341434905,-0.38758350127427477,-0.18295288599634346,-0.05158570117414164,-0.07643771884570091,-0.04093904414333299,25.488621553177047,16.719260829670013,32.130504000874225,5.027774583789856,4.011236106211646,7.358938958571571,0.8819444444444444,0.7986111111111112
SBTA,0.05,0.05,288,24,-0.3916401709172199,-0.5051190238511295,-0.22939669218793146,-0.0903343500306644,-0.1330601375149618,-0.06009203558522058,32.40527042985093,20.498690454094557,39.65662518560602,8.637433657012771,5.832213827723076,12.458755460326698,0.9513888888888888,0.90625
SBTA,0.05,0.1,288,24,-0.37922319642503743,-0.5350071458818559,-0.24229708891025387,-0.11433856368911238,-0.2972651141661938,-0.06885389067198394,31.56071584176299,21.51770192906344,41.4334894963807,10.80440791308459,6.65369422249682,25.71529530215324,0.96875,0.9131944444444444
SBTA,0.05,0.2,288,24,-0.37410989914893766,-0.5219509598988319,-0.2035785963568645,-0.15835876121814266,-0.5423755940269147,-0.08888759269894776,31.209869209363983,18.419391758315328,40.66382070680788,14.645649127664184,8.505158532380586,41.86344778404455,0.8229166666666666,0.8229166666666666
SBTA,0.1,0.0,288,24,-0.25230268957227286,-0.3461337428143593,-0.16171494419103083,-0.048906386992715156,-0.06159955169909254,-0.033101207593019565,22.299049020600236,14.931633769887132,29.25821312773128,4.77297295901643,3.2559357704667224,5.9740663334517885,0.8888888888888888,0.7604166666666666
SBTA,0.1,0.05,288,24,-0.33834128085671766,-0.41688422566091904,-0.20708772530014888,-0.07286873461152746,-0.10628467453872278,-0.04723315186957347,28.704807047144023,18.705166927695338,34.090277792760325,7.027713755098808,4.613502374013145,10.083135877983718,0.9375,0.8541666666666666
SBTA,0.1,0.1,288,24,-0.34723957597198535,-0.47039106621634486,-0.2329779924571728,-0.10543517464382307,-0.20471913589814222,-0.06532863377925985,29.336398503326432,20.78289929301569,37.524210120412384,10.006719057917568,6.3240438048332015,18.512384626714063,0.9444444444444444,0.8993055555555556
SBTA,0.1,0.2,288,24,-0.3464811166747891,-0.4964008450847309,-0.1937591964473934,-0.1499004884029107,-0.4479367992146364,-0.08695321834345154,29.28278270766882,17.614373209956767,39.12824092912547,13.920636888783399,8.328001969069366,36.10549354142526,0.8194444444444444,0.8159722222222222
SBTA,0.2,0.0,288,24,-0.21356327537971037,-0.301110563834535,-0.12692587837181604,-0.039364195036002386,-0.05654871383912953,-0.022300697313026287,19.229894905708832,11.920104356959161,26.000404856637893,3.8599491913161588,2.2053874937706275,5.497955220022444,0.8298611111111112,0.6875
SBTA,0.2,0.05,288,24,-0.25082858995153867,-0.3264262079198317,-0.1383702025507996,-0.06065989637449595,-0.09145860115311141,-0.0441165281570877,22.18442561582816,12.922373152724276,27.850238610594836,5.885672841027878,4.315754811113914,8.740090407977096,0.8888888888888888,0.8055555555555556
SBTA,0.2,0.1,288,24,-0.2953409983672838,-0.37974967184770386,-0.16801682915532742,-0.08281461665398407,-0.12951003990588641,-0.05740536571918205,25.572225330770337,15.466039178662172,31.59673795960528,7.947821918886966,5.5788759089732025,12.147423194406137,0.875,0.84375
SBTA,0.2,0.2,288,24,-0.276970526775124,-0.39570751576231333,-0.1396122073951026,-0.11272241867847443,-0.2689068347949145,-0.07549520067091259,24.192316024957684,13.030456852965411,32.67964314225258,10.660138353099413,7.27158191347389,23.57855494722826,0.8055555555555556,0.7777777777777778
SBTA,0.4,0.0,288,24,-0.15748773013254064,-0.23221961129338373,-0.0858506659687479,-0.05284980101331567,-0.07126350583956804,-0.03730822164809244,14.571270446393815,8.226873050226269,20.7227997496892,5.147753110269848,3.662084472741578,6.87835211849781,0.7673611111111112,0.6388888888888888
SBTA,0.4,0.05,288,24,-0.17512777631100412,-0.2411998844063658,-0.08835692179778702,-0.05857475443476844,-0.08758590535992096,-0.04263190905651204,16.06502350996275,8.456591997123631,21.43154354010185,5.689226372129963,4.173594652349999,8.385983308043043,0.7708333333333334,0.6979166666666666
SBTA,0.4,0.1,288,24,-0.1908850258934404,-0.26984461475141425,-0.09252414524512687,-0.0650813294682287,-0.09371296124792089,-0.05124276747780153,17.37724225320324,8.837280076346632,23.65018785344397,6.300874472206342,4.995199822305796,8.945591382786699,0.7569444444444444,0.7152777777777778
SBTA,0.4,0.2,288,24,-0.13848409375583037,-0.24179126403522733,-0.04267845140751159,-0.04545220280073757,-0.07394202766662554,-0.01348831906436239,12.932289963847632,4.178054534755205,21.477993588563372,4.443472517570813,1.3397759312301805,7.127446733311594,0.6944444444444444,0.6180555555555556
SETA,0.0,0.0,288,24,-0.22267652548722183,-0.30270872162184526,-0.14484621155513003,-0.03273969977334332,-0.053490915599607725,-0.017562097302559747,19.962629207957693,13.484466622622726,26.11857343470616,3.2209557123391686,1.7408782493564812,5.208544779998081,0.8229166666666666,0.7326388888888888
SETA,0.0,0.05,288,24,-0.22759511559023768,-0.29197424693567614,-0.1419168937870908,-0.03087218357599885,-0.04358822286123862,-0.01694034908089552,20.355333659982122,13.230663580096191,25.321223220086274,3.0400504103549886,1.6797668191528614,4.265190962252796,0.8784722222222222,0.7256944444444444
SETA,0.0,0.1,288,24,-0.22410364106133127,-0.28950034440203903,-0.13339604990116843,-0.033665903703471396,-0.03954364143423497,-0.018497641079950364,20.076770320673777,12.488156710273046,25.136246492144675,3.310551345193813,1.8327609724256178,3.877199629348893,0.8854166666666666,0.6770833333333334
SETA,0.0,0.2,288,24,-0.19446672733039727,-0.2684326975495049,-0.09364248406593968,-0.02379132636554695,-0.050877716498274134,0.02678853931187232,17.67264296896851,8.939173898519947,23.542312102418382,2.3510543897265146,-2.7150577829033296,4.96051189589558,0.7847222222222222,0.5902777777777778
