family,feedback_noise_alpha,feedback_bias_alpha,units,operating_conditions,median_log_R_degradation,ci_low_log_R_degradation,ci_high_log_R_degradation,median_log_R_abs_degradation,ci_low_log_R_abs_degradation,ci_high_log_R_abs_degradation,median_R_degradation_percent,ci_low_R_degradation_percent,ci_high_R_degradation_percent,median_R_abs_degradation_percent,ci_low_R_abs_degradation_percent,ci_high_R_abs_degradation_percent
LFTA,0.05,0.1,72,24,0.011775490850981719,0.003807450638280155,0.022329133007931965,0.0008736786122834565,-0.0038251067756942597,0.012973199493161962,1.1845094882277727,0.38147081864571863,2.2580294017222613,0.08740603806150841,-0.3817800373662943,1.3057716535723518
LFTA,0.05,0.2,72,24,0.04357401633502024,0.02275548614327481,0.06670769210577351,0.02575771383655051,-9.981542515076124e-05,0.14128918484792624,4.453730427394514,2.3016367285713617,6.898296034300894,2.6092310384646,-0.009981044375695358,15.175767069671048
LFTA,0.1,0.0,72,24,0.005413569020610742,0.0008839781557132547,0.01265588184393405,-0.00498011312319069,-0.010178617182402028,-0.002685925120768456,0.5428248863540689,0.08843689795545728,1.2736306439825151,-0.49677329199612685,-1.0126990370190712,-0.2682321251187947
LFTA,0.1,0.05,72,24,0.00870698984860565,0.000904288673679789,0.01604422789656756,-0.0038666736895986847,-0.008585666578022252,0.00022404605894257087,0.874500593985395,0.09046976659555318,1.617362763433508,-0.38592077327939034,-0.8548914996877914,0.022407115913533282
LFTA,0.1,0.1,72,24,0.01543110075544564,0.006011345204634966,0.025156492862543685,-0.0019541628475040155,-0.0073085739173185055,0.009859752355692485,1.5550774966590055,0.6029449599294745,2.5475587578295844,-0.19522547144233726,-0.7281931237143846,0.9908519860678977
LFTA,0.1,0.2,72,24,0.053801747224596484,0.02679729430403667,0.06878207350415373,0.018680994466663006,-0.004059558176430245,0.15309684213317898,5.5275370144405835,2.715957056365941,7.120274025021711,1.88565758847805,-0.4051329309090873,16.543783696416302
LFTA,0.2,0.0,72,24,0.020934791162872717,0.005458295932439187,0.034897257596649904,-0.010313170200340702,-0.019245485147920502,0.0030691181130905747,2.115546110626178,0.5473219569870347,3.551331220759884,-1.0260171810829122,-1.9061473156104496,0.30738326780383546
LFTA,0.2,0.05,72,24,0.023911379484349633,0.006252931589902989,0.036673517264628766,-0.011259289138730848,-0.018873699892685624,0.007612725195509308,2.419954877653664,0.6272521977803036,3.735428728057624,-1.1196140567655948,-1.8696706872370794,0.7641775658902228
LFTA,0.2,0.1,72,24,0.03232184629822804,0.013125948822344016,0.04654548765031259,-0.004563162505680348,-0.015632816968137456,0.02827856516335501,3.2849870724477452,1.321247224146127,4.764573292744543,-0.4552767097643342,-1.551125874179236,2.8682199537961846
LFTA,0.2,0.2,72,24,0.06420168717955332,0.04001841320017475,0.09215669609309307,0.016579318818005777,-0.013634429379280374,0.11534896741409742,6.630743761511569,4.082993902595988,9.65366316256324,1.671751841962054,-1.3541901545797486,12.226500316223449
LFTA,0.4,0.0,72,24,0.05219889383039431,0.02569522264858974,0.08233318425485173,-0.031961996935116484,-0.05847132229910222,0.08319798166074346,5.3585273286135955,2.6028190660692374,8.581752687058675,-3.145661100294013,-5.679471102901833,8.67569451958143
LFTA,0.4,0.05,72,24,0.05764677454212665,0.029718599657474466,0.08470202085097021,-0.03342140091842034,-0.059192446392559814,0.10603804709008488,5.934074349730839,3.0164604489743754,8.839270004297976,-3.286907615351547,-5.747463390412402,11.186417889836097
LFTA,0.4,0.1,72,24,0.06827977536849687,0.039067979409905446,0.095616092092578,-0.029366452101540323,-0.05718051623096898,0.11461523062703956,7.066481222231177,3.984116903662168,10.033655499260778,-2.89394479218656,-5.557642980527742,12.1441858067435
LFTA,0.4,0.2,72,24,0.104620557427062,0.06863475148668222,0.1348179331870556,0.022183943142591332,-0.05287777753276672,0.3057940965117519,11.028923941201548,7.104494012540422,14.432842115527711,2.243183649955856,-5.150406708880539,35.77027220386957
PTA,0.0,0.0,288,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTA,0.0,0.05,288,24,0.01996688872095441,0.006221399712716469,0.03970814176239423,0.0011882635183544038,-8.045475137255615e-05,0.024319790506806462,2.016756041474966,0.62407928164665,4.05070493186105,0.11889697831641295,-0.008045151497584202,2.4617928591100746
PTA,0.0,0.1,288,24,0.07382777094985954,0.03435700142890891,0.11064094739622819,0.013670101959553226,0.001004504801937987,0.15152652930131996,7.662136405258474,3.4954020847807805,11.699377532168091,1.3763965021545972,0.10050094858582058,16.360917113852267
PTA,0.0,0.2,288,24,0.22185340959414063,0.1353623825858301,0.29137941360226827,0.26698081297135545,0.007846376579093074,0.7665634252983716,24.83883626937197,14.495161971082082,33.82722463307349,30.601538753560238,0.7877240061162194,115.23567945879111
PTA,0.05,0.0,288,24,0.007553909929184702,0.0009532284682620365,0.018456583665312526,-0.0023899953558102734,-0.003392691373080548,-0.0011438806414125209,0.7582512682308011,0.09536829349104334,1.8627959117120438,-0.23871415908576019,-0.3386942698701005,-0.1143226659334536
PTA,0.05,0.05,288,24,0.02602444873154691,0.005341093981521597,0.04798662863240409,-0.0013308247835836391,-0.006815815772490625,0.013722226951010974,2.63660415145122,0.5355383052411122,4.915662657175934,-0.13299396289867738,-0.6792640782215127,1.3816808836792638
PTA,0.05,0.1,288,24,0.07481423847502511,0.03418399027608815,0.10850873532320413,0.007669366211293655,-0.0019219214598287146,0.1511175347875216,7.768394007732511,3.4774977748217584,11.46146450149878,0.7698851129013333,-0.19200757514047373,16.313335868029675
PTA,0.05,0.2,288,24,0.22093323778662521,0.13999310722856712,0.29463864299325626,0.27117483870530235,0.005281503798036777,0.7690249254780812,24.724015927076504,15.026587031017138,34.264109824703354,31.15043520632611,0.5295475525635562,115.76613471247505
PTA,0.1,0.0,288,24,0.02946259323353245,0.004857644944305593,0.05447992093009706,-0.006505105065571079,-0.009792595611782605,-0.0015129602836802542,2.990090948852403,0.4869462428807564,5.5991272878266924,-0.6483992673862009,-0.9744804275007152,-0.15118163362586595
PTA,0.1,0.05,288,24,0.04463680484280745,0.008022773769667526,0.07698317601263802,-0.005751681555684538,-0.012835154472448547,0.018492916706042722,4.564801663850318,0.8055042456213357,8.00239059312069,-0.5735172302479783,-1.2753135162464544,1.8664969640596316
PTA,0.1,0.1,288,24,0.08572554625179865,0.038779931118702045,0.13345253881833932,0.0012642685282249174,-0.007857962556931615,0.15139015384518734,8.950726791451157,3.9541687699372163,14.27670277745101,0.12650680525829738,-0.7827169478898865,16.345049422711256
PTA,0.1,0.2,288,24,0.22118229855276428,0.14911065477695887,0.29578958181186776,0.29312660982113037,0.0026351539332367725,0.8163341814887664,24.755083654754674,16.08014303260092,34.4187285619322,34.06125143977473,0.2638629003140317,126.21918343179468
PTA,0.2,0.0,288,24,0.08462900984925524,0.040102434685489165,0.1428029073142725,-0.015634443765549483,-0.02756165820088582,0.03161474658934648,8.831323830251629,4.0917394777426175,15.350243236794503,-1.55128603042261,-2.718530129989238,3.21198010280237
PTA,0.2,0.05,288,24,0.10317841543672357,0.047371838767637967,0.16829772605312382,-0.01604148909422012,-0.028314072860003293,0.10023832614803019,10.868919869869814,4.851181394363484,18.32888541294235,-1.5913509648821675,-2.7916986040118164,10.54343405924576
PTA,0.2,0.1,288,24,0.14471649144138565,0.0737010076083549,0.21539269307871817,-0.006835175514479894,-0.025265298361266546,0.25234855353769714,15.571186961091923,7.648489658066125,24.03488777623029,-0.6811868834305763,-2.4948801773364226,28.704456304830323
PTA,0.2,0.2,288,24,0.25568272142253656,0.16433556629768986,0.36017452749398116,0.30867356189923034,-0.003406425036098848,0.9190671120974606,29.13429474824666,17.860975045200213,43.35795917818797,36.161781401410074,-0.34006297526027107,150.6950594840527
PTA,0.4,0.0,288,24,0.24797368492399008,0.14198961377338953,0.35529643078657164,-0.056584818448496985,-0.10282330652428531,0.6435492885012688,28.142621092219265,15.256467767691351,42.66034808009247,-5.50136711784066,-9.7713612484708,90.32239966383135
PTA,0.4,0.05,288,24,0.25603403999796326,0.1419010911350236,0.3817801422700028,-0.053901081747047046,-0.10319305942550219,0.6967839346307132,29.179669994833134,15.246265412652171,46.488998233965,-5.247417053405549,-9.804717382278374,100.72867501695073
