comparator,kill_percent,step_ratio,effective_step_ratio,operating_conditions,configuration_condition_comparisons,post_removal_R_median_reduction_percent,post_removal_R_ci_low,post_removal_R_ci_high,post_removal_R_abs_median_reduction_percent,post_removal_R_abs_ci_low,post_removal_R_abs_ci_high
LFTA,40,2.0,1.2,48,576,9.213217466564695,1.441132620694388,25.292505908200393,2.6246296008646115,1.4574408752431267,3.8071192228538027
LFTA,40,2.5,1.5,48,576,45.43465967837044,44.85633879357129,51.24206206230406,18.571068788852717,4.509785207885079,25.313739040202577
SBTA,40,1.5,0.8999999999999999,48,576,-0.06429840987613178,-0.2190498085155701,1.1539087432095418,0.3933326477246091,0.18272997947924585,1.1129967090770103
SBTA,40,2.0,1.2,48,576,1.5203393420573252,0.07275586526835076,3.230364093828614,2.0618674765779943,1.2215099152586673,3.7157154233514955
SBTA,40,2.5,1.5,48,576,26.433775186885,21.424505616054578,31.237406629134256,5.218146014483196,4.930340821387263,5.821665235089835
SETA,40,1.5,0.8999999999999999,48,576,0.600679365848017,0.2168918601664238,1.112517915508876,0.8013187059366711,0.6137870909778187,0.9683873910442398
SETA,40,2.0,1.2,48,576,1.6756831017858826,1.2588407778458433,2.437063714774551,1.5467175342579993,1.0709392435339582,2.9163266353569806
SETA,40,2.5,1.5,48,576,19.095163319926364,18.918176122857112,23.215847177089522,3.71018166333994,2.793171322581167,4.595018589534739
CT,50,1.5,0.75,48,576,-0.22835140342312987,-0.5317321962548346,0.00785783462457501,0.8483710393005939,0.7844194031964902,1.6014091944495157
CT,50,2.0,1.0,48,576,1.466199622526998,-0.5910604288168031,3.363752305450418,1.847694057266744,1.121210054856664,3.525506161969749
CT,50,2.5,1.25,48,576,0.7157313240358176,-1.7109015871680011,2.7271931294480467,3.6255238358335857,2.256479231800357,5.032501811879694
LFTA,50,1.5,0.75,48,576,0.0667804804380362,-0.1808099012582165,0.4898949929641627,0.504315499637184,0.3251541697682214,1.1622267312632995
LFTA,50,2.0,1.0,48,576,7.71116358545999,0.4865731738395829,25.10847376721774,1.5668025877063703,0.45831130699936495,3.957922805218309
LFTA,50,2.5,1.25,48,576,12.168825910367323,1.2261506633667096,23.986154145541384,8.624884020145453,2.1109136636793147,13.235891346117068
SBTA,50,1.5,0.75,48,576,0.06317053440111631,-0.06414363328459127,0.39699842866440793,0.4236663583868011,0.298124953547102,1.0381421529020496
SBTA,50,2.0,1.0,48,576,1.468309280397967,-0.2071317305009368,3.8151368214005386,1.7023393640028224,0.7264884466232746,3.6852256621918156
SBTA,50,2.5,1.25,48,576,2.9400580623152206,0.49451828000033893,3.7256914563803036,3.503459111839252,1.0105275299243377,5.159325675664439
SETA,50,1.5,0.75,48,576,0.25832643747722706,0.17132439355650453,0.45951725479282945,0.40612463962056145,0.17058444306480292,0.684973829889568
SETA,50,2.0,1.0,48,576,1.5318456963700988,0.5610916720845571,3.1984557048035045,1.027791585771734,0.7590906167744105,3.137410243138178
SETA,50,2.5,1.25,48,576,2.994145410707744,2.556588426033496,4.014865827221609,2.234898183495246,1.2644473475034446,4.3302201154700075
