pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,kill_percent,config,repetitions,R,R_abs,R2_norm,R2_max_norm,post_removal_R,post_removal_R_abs,post_removal_R2_norm,post_removal_R2_max_norm
50,4,1.5,random,PTA,HT1,latent,Global,10,PTA-HT1-latent-Global,100,1.77808095,214.57293473000001,1.9095476299999998,3.77717599,1.8287292,322.18074506,1.9684432699999999,3.75004795
50,4,1.5,random,PTA,HT1,latent,Global,20,PTA-HT1-latent-Global,100,1.8370824,216.7511048,1.97801391,4.11360009,1.9467321000000002,326.53708523,2.10537595,4.113218939999999
50,4,1.5,random,PTA,HT1,latent,Global,30,PTA-HT1-latent-Global,100,1.9112365500000001,218.87630952,2.0612409,4.65493571,2.0950404000000002,330.78749464,2.27182973,4.65493571
50,4,1.5,random,PTA,HT1,latent,Global,40,PTA-HT1-latent-Global,100,2.005455,221.21429643,2.16582439,5.48916557,2.2834773,335.46346839,2.4809967,5.48916557
50,4,1.5,random,PTA,HT1,latent,Global,50,PTA-HT1-latent-Global,100,2.12808465,223.70557466999998,2.30227565,6.875888499999999,2.5287366000000002,340.44602487,2.75389927,6.875888499999999
50,4,1.5,random,PTA,HT2,clamped,Agent,0,PTA-HT2-clamped-Agent,100,1.55618625,191.99620621999998,1.66649617,3.1429258599999996,1.5713862,288.25228513,1.6820516699999999,3.09516328
50,4,1.5,random,PTA,HT2,clamped,Agent,5,PTA-HT2-clamped-Agent,100,1.5749094,192.93521172,1.68864662,3.22365247,1.6088325,290.13029627,1.72635265,3.2026378899999997
50,4,1.5,random,PTA,HT2,clamped,Agent,10,PTA-HT2-clamped-Agent,100,1.6044264000000001,194.30601008000002,1.7235291799999999,3.3810074200000004,1.6678665000000001,292.87189275000003,1.79611773,3.3767495100000002
50,4,1.5,random,PTA,HT2,clamped,Agent,20,PTA-HT2-clamped-Agent,100,1.6627425,196.72482297,1.79134828,3.7337320099999998,1.7844987,297.70951871,1.9317559800000002,3.7337320099999998
50,4,1.5,random,PTA,HT2,clamped,Agent,30,PTA-HT2-clamped-Agent,100,1.737609,199.31094954,1.87590093,4.23629314,1.9342317,302.88177179999997,2.1008612700000002,4.23629314
50,4,1.5,random,PTA,HT2,clamped,Agent,40,PTA-HT2-clamped-Agent,100,1.8312159,202.07526074,1.9802753999999998,5.19445766,2.1214455,308.41039414,2.30961018,5.19445766
50,4,1.5,random,PTA,HT2,clamped,Agent,50,PTA-HT2-clamped-Agent,100,1.9527852,204.98836519,2.11604043,6.66774587,2.3645841,314.23660307,2.58114012,6.66774587
50,4,1.5,random,PTA,HT2,clamped,Global,0,PTA-HT2-clamped-Global,100,1.5802479,194.27192903,1.6981896,3.29705858,1.5931784999999998,291.41767208,1.71050807,3.2396478
50,4,1.5,random,PTA,HT2,clamped,Global,5,PTA-HT2-clamped-Global,100,1.60066065,195.21505724,1.72202246,3.3890984200000003,1.634004,293.30392869,1.75817386,3.37017162
50,4,1.5,random,PTA,HT2,clamped,Global,10,PTA-HT2-clamped-Global,100,1.6307608500000002,196.53472266,1.7576497699999998,3.5761019,1.6942044,295.94325964,1.82942839,3.56866327
50,4,1.5,random,PTA,HT2,clamped,Global,20,PTA-HT2-clamped-Global,100,1.6964172,199.0809747,1.83282595,3.9810567800000003,1.8255171000000001,301.03576359,1.97978081,3.98032556
50,4,1.5,random,PTA,HT2,clamped,Global,30,PTA-HT2-clamped-Global,100,1.7715381,201.59971041,1.9180862200000002,4.51781635,1.9757588999999998,306.07323493,2.15030123,4.51781635
50,4,1.5,random,PTA,HT2,clamped,Global,40,PTA-HT2-clamped-Global,100,1.8697366500000001,204.33770387,2.02767704,5.4291585399999995,2.1721559999999998,311.54922179,2.36948295,5.4291585399999995
50,4,1.5,random,PTA,HT2,clamped,Global,50,PTA-HT2-clamped-Global,100,2.0001567,207.42584116999998,2.17266768,6.81165313,2.4329961,317.72549661,2.65946411,6.81165313
50,4,1.5,random,PTA,HT2,latent,Agent,0,PTA-HT2-latent-Agent,100,1.46189745,181.34280126000002,1.5832305199999999,3.1759064,1.4651337,271.54038855,1.5873043999999998,3.0831215
50,4,1.5,random,PTA,HT2,latent,Agent,5,PTA-HT2-latent-Agent,100,1.4839794,182.44419860999997,1.6084231,3.2574638900000004,1.5092975999999998,273.74318332,1.63768951,3.2136967199999997
50,4,1.5,random,PTA,HT2,latent,Agent,10,PTA-HT2-latent-Agent,100,1.521531,184.30160716999998,1.65069739,3.45280175,1.5844008,277.45800032,1.72223814,3.4423321299999996
50,4,1.5,random,PTA,HT2,latent,Agent,20,PTA-HT2-latent-Agent,100,1.58568675,187.03711950000002,1.72350975,3.85029274,1.7127123,282.92902502,1.86786282,3.85029274
50,4,1.5,random,PTA,HT2,latent,Agent,30,PTA-HT2-latent-Agent,100,1.6672762499999998,189.96347631,1.8156791799999998,4.4449237,1.8758913000000002,288.78173863,2.05220176,4.4449237
50,4,1.5,random,PTA,HT2,latent,Agent,40,PTA-HT2-latent-Agent,100,1.7719060500000001,193.20919938999998,1.93208201,5.37963216,2.0851509000000004,295.27318477,2.2850073600000003,5.37963216
50,4,1.5,random,PTA,HT2,latent,Agent,50,PTA-HT2-latent-Agent,100,1.91182545,196.63267499000003,2.08742869,6.827311529999999,2.3649896999999998,302.12013606,2.59570062,6.827311529999999
50,4,1.5,random,PTA,HT2,latent,Global,0,PTA-HT2-latent-Global,100,1.5558851999999999,191.71138933999998,1.68047998,3.32518486,1.5596169,287.05592138,1.68439701,3.25036844
50,4,1.5,random,PTA,HT2,latent,Global,5,PTA-HT2-latent-Global,100,1.5771036,192.68083190000002,1.70505064,3.40728526,1.6020537,288.99480650000004,1.73353841,3.37458281
50,4,1.5,random,PTA,HT2,latent,Global,10,PTA-HT2-latent-Global,100,1.6116511500000001,194.20718352,1.7450860499999998,3.61710539,1.6711488,292.04750978,1.8136092,3.61304598
50,4,1.5,random,PTA,HT2,latent,Global,20,PTA-HT2-latent-Global,100,1.6804427999999998,196.93182786,1.8238759500000001,4.05824525,1.8087321,297.49679853000004,1.97118893,4.05824525
50,4,1.5,random,PTA,HT2,latent,Global,30,PTA-HT2-latent-Global,100,1.7647896,199.77883684,1.91804576,4.67595118,1.9774257,303.19081636,2.15952864,4.67595118
50,4,1.5,random,PTA,HT2,latent,Global,40,PTA-HT2-latent-Global,100,1.8674569500000002,202.67357482,2.03262914,5.5803769,2.1827604,308.98029237,2.3886954499999997,5.5803769
50,4,1.5,random,PTA,HT2,latent,Global,50,PTA-HT2-latent-Global,100,1.99990485,205.7111009,2.1797388900000003,6.92142737,2.4476562,315.05534445,2.6829148,6.92142737
50,4,1.5,random,SBTA,HM,clamped,,0,SBTA-HM,100,1.3233672,162.21089240999999,1.4749524999999999,3.18878101,1.3301840999999999,243.20407575000002,1.4798372599999998,3.10590432
50,4,1.5,random,SBTA,HM,clamped,,5,SBTA-HM,100,1.34960565,163.58227396,1.5031767,3.27926639,1.382661,245.94683872000002,1.53628569,3.23685594
50,4,1.5,random,SBTA,HM,clamped,,10,SBTA-HM,100,1.39376055,165.72173219,1.55114848,3.52774206,1.4709708000000001,250.22575529000002,1.63222926,3.5178948300000004
50,4,1.5,random,SBTA,HM,clamped,,20,SBTA-HM,100,1.4764965,169.36416626,1.64182921,4.06286763,1.6364427000000001,257.51062351,1.81359055,4.06286763
50,4,1.5,random,SBTA,HM,clamped,,30,SBTA-HM,100,1.5759213,173.07435185999998,1.75053671,4.72788056,1.8352923,264.93099471,2.03100564,4.72788056
50,4,1.5,random,SBTA,HM,clamped,,40,SBTA-HM,100,1.6956250499999999,176.96972225000002,1.88137903,5.65604446,2.0746998,272.72173537,2.29269025,5.65604446
50,4,1.5,random,SBTA,HM,clamped,,50,SBTA-HM,100,1.8451789500000002,180.91363264,2.04526843,6.9877439500000005,2.3738076,280.60955618,2.6204691600000003,6.9877439500000005
50,4,1.5,random,SBTA,HT1,clamped,,0,SBTA-HT1,100,1.73500305,216.24103910000002,1.85818161,3.07303969,1.7415809999999998,323.79351704,1.86319079,3.02704115
50,4,1.5,random,SBTA,HT1,clamped,,5,SBTA-HT1,100,1.7508510000000002,216.99769364,1.8788575,3.13682152,1.7732769,325.30682595999997,1.9045425,3.1268444499999997
50,4,1.5,random,SBTA,HT1,clamped,,10,SBTA-HT1,100,1.7772614999999998,218.19090144999998,1.91185764,3.29270836,1.8260979,327.69324166,1.97054279,3.2920319
50,4,1.5,random,SBTA,HT1,clamped,,20,SBTA-HT1,100,1.8342109500000001,220.21187424,1.97752018,3.68198821,1.9399968,331.73518723,2.10186793,3.68198821
50,4,1.5,random,SBTA,HT1,clamped,,30,SBTA-HT1,100,1.9119046499999999,222.43156473,2.0635952399999997,4.27296148,2.0953842,336.17456825,2.2740182200000003,4.27296148
50,4,1.5,random,SBTA,HT1,clamped,,40,SBTA-HT1,100,2.01109725,224.82874227,2.17181698,5.255178590000001,2.2937694,340.96892317,2.49046156,5.255178590000001
50,4,1.5,random,SBTA,HT1,clamped,,50,SBTA-HT1,100,2.13427605,227.23511589999998,2.3062983900000003,6.72705957,2.540127,345.78167055,2.75942441,6.72705957
50,4,1.5,random,SBTA,HT2,clamped,,0,SBTA-HT2,100,1.5661053,194.29582229,1.68363388,3.0756811099999997,1.5705921,290.97790014000003,1.68703266,3.02605659
50,4,1.5,random,SBTA,HT2,clamped,,5,SBTA-HT2,100,1.58787225,195.29661117,1.70885678,3.1820981699999997,1.614126,292.97947783,1.7374782899999999,3.1719899400000005
50,4,1.5,random,SBTA,HT2,clamped,,10,SBTA-HT2,100,1.62394425,196.91644125,1.75037788,3.4044834500000003,1.6862700000000002,296.21913803,1.82052046,3.4044834500000003
50,4,1.5,random,SBTA,HT2,clamped,,20,SBTA-HT2,100,1.69299135,199.58948628,1.8293284399999998,3.87364151,1.8243642,301.56522799,1.97842172,3.87364151
