pop,n,step_ratio,pattern,family,threshold_range,threshold_mode,gain_scheme,kill_percent,config,repetitions,R,R_abs,R2_norm,R2_max_norm,post_removal_R,post_removal_R_abs,post_removal_R2_norm,post_removal_R2_max_norm,comparator_post_removal_R,comparator_post_removal_R_abs,comparator,post_removal_R_reduction_percent,post_removal_R_pta_lower,post_removal_R_abs_reduction_percent,post_removal_R_abs_pta_lower
500,4,1.5,sharp,PTA,HM,latent,Agent,40,PTA-HM-latent-Agent,100,18.58603717,16.047299849999998,21.868258439999998,72.77943324,35.80882956,30.83801449,41.869609170000004,72.77943324,36.924587700000004,30.52129061,SETA,3.021721323106352,True,-1.0377145712711977,False
500,4,1.5,sharp,PTA,HM,latent,Agent,50,PTA-HM-latent-Agent,100,25.250917140000002,29.55856525,28.599861500000003,84.42108183,49.13858925,57.86054541000001,55.332815200000006,84.42108183,49.370174129999995,56.903960909999995,SETA,0.4690785156847732,True,-1.6810508173815242,False
500,4,1.5,sharp,PTA,HM,latent,Global,0,PTA-HM-latent-Global,100,1.50796331,1.34830424,2.06727858,2.6749010099999997,1.5089537100000001,1.30410272,2.07063909,2.5804351100000003,1.8313833,2.63674849,SETA,17.605795029363858,True,50.541254695096086,True
500,4,1.5,sharp,PTA,HM,latent,Global,5,PTA-HM-latent-Global,100,1.58879239,1.4213519099999998,2.17789741,2.84023289,1.6706118900000002,1.45019805,2.29187685,2.84023289,1.97422167,2.56107531,SETA,15.378707701045535,True,43.37542342712288,True
500,4,1.5,sharp,PTA,HM,latent,Global,10,PTA-HM-latent-Global,100,1.67800512,1.50638273,2.30187599,3.13774317,1.8490373400000002,1.6202597499999998,2.53983396,3.13774317,2.21765394,2.79982629,SETA,16.621917123823195,True,42.12999014306706,True
500,4,1.5,sharp,PTA,HM,latent,Global,20,PTA-HM-latent-Global,100,1.89263973,1.7127188100000001,2.5987583599999997,3.84326699,2.27830647,2.0329319,3.13359877,3.84326699,2.68780143,3.15897564,SETA,15.235312974738612,True,35.645850691017046,True
500,4,1.5,sharp,PTA,HM,latent,Global,30,PTA-HM-latent-Global,100,2.17457084,1.98116176,2.98164524,4.77419036,2.8421688,2.56981783,3.8993724800000003,4.77419036,3.0959849100000003,3.0670520800000003,SETA,8.198234725892128,True,16.212122814686612,True
500,4,1.5,sharp,PTA,HM,latent,Global,40,PTA-HM-latent-Global,100,18.73341483,16.173760830000003,22.049214459999998,72.98283554,35.9598567,30.955015969999998,42.03451089,72.98283554,36.924587700000004,30.52129061,SETA,2.6127062212261354,True,-1.4210583868884408,False
500,4,1.5,sharp,PTA,HM,latent,Global,50,PTA-HM-latent-Global,100,25.34698168,29.66200825,28.72413811,84.38964964,49.1869902,57.93151072,55.384358160000005,84.38964964,49.370174129999995,56.903960909999995,SETA,0.3710416931438032,True,-1.8057614857868831,False
500,4,1.5,sharp,PTA,HT1,clamped,Agent,0,PTA-HT1-clamped-Agent,100,0.6919507899999999,0.75253049,0.9437714300000001,3.4590423099999996,0.7112943300000001,0.82397038,0.96851343,3.45747168,1.6552099200000001,2.5013535,SETA,57.02694133200941,True,67.05901904708792,True
500,4,1.5,sharp,PTA,HT1,clamped,Agent,5,PTA-HT1-clamped-Agent,100,0.72367557,0.77961612,0.98430359,3.49820982,0.77474379,0.87814165,1.04957779,3.49820982,1.7671889100000002,2.59881793,SETA,56.15953757880927,True,66.20995877152502,True
500,4,1.5,sharp,PTA,HT1,clamped,Agent,10,PTA-HT1-clamped-Agent,100,0.7584661300000001,0.80989516,1.03124646,3.54467045,0.8443249500000001,0.93869963,1.14346355,3.54467045,1.90625439,2.7236087199999996,SETA,55.70764560967122,True,65.5347105071686,True
500,4,1.5,sharp,PTA,HT1,clamped,Agent,20,PTA-HT1-clamped-Agent,100,0.84823781,0.8920655399999999,1.15307373,3.75462694,1.0238682,1.10304044,1.3871181000000001,3.75462694,2.29936755,3.06109407,SETA,55.47174700277909,True,63.9658104332612,True
500,4,1.5,sharp,PTA,HT1,clamped,Agent,30,PTA-HT1-clamped-Agent,100,1.0634371,1.09935192,1.45176515,4.0721922,1.45426683,1.51761323,1.9845009200000001,4.0721922,3.06390063,3.75798249,SETA,52.535444010140765,True,59.61627724348444,True
500,4,1.5,sharp,PTA,HT1,clamped,Agent,40,PTA-HT1-clamped-Agent,100,17.57807575,15.4642245,20.70104608,71.72582809,34.483544280000004,30.24735834,40.483062759999996,71.72582809,35.05841025,31.32079548,SETA,1.6397377003140035,True,3.427234601003182,True
500,4,1.5,sharp,PTA,HT1,clamped,Agent,50,PTA-HT1-clamped-Agent,100,24.64300301,29.20199079,27.87627748,83.99101826,48.61339911,57.7228911,54.83352557,83.99101826,48.90825639,58.741805480000004,SETA,0.6028783313164365,True,1.734564288029794,True
500,4,1.5,sharp,PTA,HT1,clamped,Global,0,PTA-HT1-clamped-Global,100,0.99340758,1.0132523500000001,1.3732349099999999,3.6865727600000002,1.02613485,1.07102681,1.4140275,3.68524545,1.6552099200000001,2.5013535,SETA,38.005757602032745,True,57.18210920607583,True
500,4,1.5,sharp,PTA,HT1,clamped,Global,5,PTA-HT1-clamped-Global,100,1.0217462,1.03909509,1.41323264,3.721187,1.08281217,1.12271233,1.49402291,3.721187,1.7671889100000002,2.59881793,SETA,38.72685801315945,True,56.799115588678426,True
500,4,1.5,sharp,PTA,HT1,clamped,Global,10,PTA-HT1-clamped-Global,100,1.05377313,1.0691869699999998,1.4590404899999998,3.82736521,1.14686589,1.1828961,1.5856386800000002,3.82736521,1.90625439,2.7236087199999996,SETA,39.83668202857228,True,56.56879450731087,True
500,4,1.5,sharp,PTA,HT1,clamped,Global,20,PTA-HT1-clamped-Global,100,1.1363805200000001,1.14948732,1.5764494199999999,4.12497161,1.31208078,1.34349681,1.82045659,4.12497161,2.29936755,3.06109407,SETA,42.937318568316755,True,56.11056768340347,True
500,4,1.5,sharp,PTA,HT1,clamped,Global,30,PTA-HT1-clamped-Global,100,1.29148,1.3024948900000002,1.79430263,4.53084815,1.6222797299999998,1.64951196,2.2561628799999998,4.53084815,3.06390063,3.75798249,SETA,47.05181642917709,True,56.106449021799456,True
500,4,1.5,sharp,PTA,HT1,clamped,Global,40,PTA-HT1-clamped-Global,100,17.92421425,15.75647071,21.13673912,71.98941934,34.88774838,30.55746359,40.94103601,71.98941934,35.05841025,31.32079548,SETA,0.48679295148588153,True,2.437140814279215,True
500,4,1.5,sharp,PTA,HT1,clamped,Global,50,PTA-HT1-clamped-Global,100,24.91399466,29.449792379999998,28.215838629999997,83.97394375,48.86730945,57.9441068,55.099235,83.97394375,48.90825639,58.741805480000004,SETA,0.08372193781246429,True,1.3579743991212534,True
500,4,1.5,sharp,PTA,HT1,latent,Agent,0,PTA-HT1-latent-Agent,100,1.0149698,1.02361898,1.42409247,3.75475492,1.03808298,1.05741794,1.45678155,3.59667729,1.41184281,1.49190884,SETA,26.473190028853143,True,29.123153395887115,True
