pop,n,step_ratio,pattern,threshold_range,R_latent,R_abs_latent,R_clamped,R_abs_clamped,R_log_ratio,R_abs_log_ratio
100,8,2.5,scurve,HT1,0.8899705400000001,9.29926608,1.02761297,9.44638228,-0.14380552574400302,-0.015696359779127565
100,8,2.5,scurve,HT2,0.63923292,9.11520528,0.6898306399999999,9.2037856,-0.07617722318510387,-0.009670948685836246
100,8,2.5,sharp,HM,0.64911592,1.88876237,0.31147601999999996,0.38678693000000003,0.734288961085082,1.5858030899347455
100,8,2.5,sharp,HT1,0.51273575,0.6858107800000001,0.76268861,1.19195508,-0.39708923002582636,-0.552748403577701
100,8,2.5,sharp,HT2,0.46790487,0.675104,0.52741909,0.8160560499999999,-0.11973046367456691,-0.1896162882522218
100,8,2.5,zigzag,HM,0.67938762,10.768814769999999,0.55948089,11.86615248,0.1941824619272189,-0.09703558201234261
100,8,2.5,zigzag,HT1,0.84005935,12.45025421,1.13496234,13.167815749999999,-0.30088220464494014,-0.05603461040671438
100,8,2.5,zigzag,HT2,0.77638652,12.44036382,0.8461464700000001,12.65167569,-0.08604198804855835,-0.01684333914929742
100,12,1.5,random,HM,0.73442457,30.63133815,0.72870764,31.422114689999997,0.007814685583405534,-0.025488327057572202
100,12,1.5,random,HT1,1.4165481199999999,60.01536416,1.43287306,60.873215710000004,-0.011458550763958898,-0.014192671479222508
100,12,1.5,random,HT2,1.11393003,47.73501638,1.11858659,47.991289349999995,-0.004171585296269261,-0.005354297970496949
