pop,n,step_ratio,pattern,threshold_range,gain_scheme,R_latent,R_abs_latent,R_clamped,R_abs_clamped,R_log_ratio,R_abs_log_ratio
50,4,2.0,scurve,HM,Agent,1.1875133599999999,11.29641198,1.12233165,11.30730806,0.05645315573148497,-0.0009640962482895888
50,4,2.0,scurve,HM,Global,1.27664034,11.34557656,1.23411681,11.3521626,0.0338763122552084,-0.0005803256560849709
50,4,2.0,scurve,HT1,Agent,1.2265541500000001,11.5506387,0.45542425000000003,11.10910292,0.9907346106422232,0.03897587902324845
50,4,2.0,scurve,HT1,Global,1.2955960899999999,11.59652037,0.52954444,11.1530897,0.8947090796319916,0.03898852235028248
50,4,2.0,scurve,HT2,Agent,1.3529210900000002,11.647368570000001,0.54877193,11.219371200000001,0.9023383770787305,0.03743842493528756
50,4,2.0,scurve,HT2,Global,1.40161082,11.677481519999999,0.6120612599999999,11.24478134,0.8285450643591211,0.03775819072685066
50,4,2.0,sharp,HM,Agent,0.7148676,0.97010831,0.8277024000000001,1.18204817,-0.14655631876659303,-0.197596225038995
50,4,2.0,sharp,HM,Global,0.818286,0.92741658,0.8547258,1.05605335,-0.043568806999450885,-0.12989113408753147
50,4,2.0,sharp,HT1,Agent,0.7862154,1.2747144,0.6623322,1.90475853,0.17146355792709334,-0.40163309112030154
50,4,2.0,sharp,HT1,Global,0.9173394,1.03362476,0.8089740000000001,1.05269559,0.12571074563582996,-0.018282294171026524
50,4,2.0,sharp,HT2,Agent,0.769782,0.94568425,0.5552208000000001,0.9374792200000001,0.32674148541167897,0.008714147287077671
50,4,2.0,sharp,HT2,Global,0.9307470000000001,1.02223253,0.7741625999999999,0.88966049,0.18420556049462616,0.1389043513085695
50,4,2.0,zigzag,HM,Agent,1.24131916,26.13432907,1.28748218,26.44679832,-0.03651385983203378,-0.011885364344003007
50,4,2.0,zigzag,HM,Global,1.37566447,26.186224510000002,1.3434938399999998,26.380215269999997,0.023663301275689105,-0.0073808171704966554
50,4,2.0,zigzag,HT1,Agent,1.42476518,26.58997595,0.81821726,26.1712726,0.5546343927995642,0.015871957219181578
50,4,2.0,zigzag,HT1,Global,1.59700379,26.862981,1.07603366,26.395456479999996,0.3948474986516232,0.017557275500569056
50,4,2.0,zigzag,HT2,Agent,1.46480843,26.65407344,0.88781044,26.31679479,0.5007214966595599,0.012734667916438402
50,4,2.0,zigzag,HT2,Global,1.60910672,26.83051637,1.12076053,26.398431690000002,0.3616716932184755,0.016235307539757205
50,4,2.5,random,HM,Agent,0.46181475,45.22649416,0.4795155,52.42190145000001,-0.037612382495751044,-0.14764140150699986
50,4,2.5,random,HM,Global,0.47088749999999996,51.553985080000004,0.4855185,54.48928869,-0.030598180068552968,-0.05537463193922853
50,4,2.5,random,HT1,Agent,1.20707475,150.28668661,1.35682575,165.49506297,-0.11694809375043481,-0.09639664931537001
50,4,2.5,random,HT1,Global,1.31297925,164.19902832,1.38120225,170.90389642,-0.05065552385826327,-0.04002210993707508
50,4,2.5,random,HT2,Agent,0.857256,107.61732699,1.01937525,125.7559437,-0.1732086281799168,-0.15576140759774332
50,4,2.5,random,HT2,Global,0.9680265,122.11235379,1.00589175,125.76410935,-0.038370277561243,-0.029466450636353853
50,4,2.5,scurve,HM,Agent,0.83109274,11.075526199999999,1.0421727,11.17271379,-0.22632155843373383,-0.008736709801562242
50,4,2.5,scurve,HM,Global,0.90681421,11.14129995,1.01267055,11.15503592,-0.11040864023973918,-0.0012321281683096296
50,4,2.5,scurve,HT1,Agent,1.15716124,11.45181358,0.61263924,11.09246387,0.6359488307033433,0.03188216161416484
50,4,2.5,scurve,HT1,Global,1.1943800199999999,11.48829716,0.66696472,11.12848769,0.5826453670572779,0.03182059981687123
50,4,2.5,scurve,HT2,Agent,1.01572876,11.392207,0.45547947,11.05563027,0.8020109796579509,0.02998970025465911
50,4,2.5,scurve,HT2,Global,1.04420388,11.416836980000001,0.5011474,11.07591507,0.7341097673428401,0.03031625653640158
50,4,2.5,sharp,HM,Agent,0.35254125000000003,1.48458037,0.44752875000000003,1.35735539,-0.23857314477882857,0.08959391274899793
50,4,2.5,sharp,HM,Global,0.42038325,1.2457326,0.46614975000000003,1.20414055,-0.10334013923212158,0.03395771463844102
50,4,2.5,sharp,HT1,Agent,0.81888975,2.5973463299999997,0.8473845,3.5195632999999997,-0.03420508737437754,-0.3038466379039095
50,4,2.5,sharp,HT1,Global,0.8038065,1.4670853199999998,0.9138525,2.40338054,-0.12831061130432292,-0.4935986476206566
50,4,2.5,sharp,HT2,Agent,0.637149,1.9096567199999999,0.5017192500000001,2.2860046,0.23896283687025788,-0.17988207946218324
50,4,2.5,sharp,HT2,Global,0.6763275,1.14016905,0.6007095,1.4670273800000002,0.118565969568418,-0.25206162204039817
50,4,2.5,zigzag,HM,Agent,0.63402475,25.58114725,0.80614267,25.73964571,-0.2401727452376199,-0.0061767932562105474
50,4,2.5,zigzag,HM,Global,0.72143147,25.6236992,0.7747730300000001,25.757024849999997,-0.07133273091622797,-0.005189726369418846
50,4,2.5,zigzag,HT1,Agent,1.2214411,26.21115657,0.8511747599999999,25.901524199999997,0.36116920424072435,0.01188332701770723
50,4,2.5,zigzag,HT1,Global,1.33070178,26.483866539999998,1.0462580099999998,26.130520299999997,0.2404864585022877,0.013431746468061008
50,4,2.5,zigzag,HT2,Agent,1.03370677,26.134428189999998,0.6373614,25.89717423,0.48356958521144305,0.009119673171676463
50,4,2.5,zigzag,HT2,Global,1.13193948,26.311046030000004,0.81079254,26.01994428,0.3336755806902365,0.01112552049621579
50,8,1.5,random,HM,Agent,0.7904783999999999,50.237601569999995,0.91001234,57.79614418999999,-0.1408198280604863,-0.14015828236783964
