pop,n,step_ratio,pattern,threshold_range,threshold_mode,R_agent,R_abs_agent,R_global,R_abs_global,R_log_ratio,R_abs_log_ratio
50,4,2.0,zigzag,HT2,latent,1.46480843,26.65407344,1.60910672,26.83051637,-0.09395472330835088,-0.006597921783111056
50,4,2.5,random,HM,clamped,0.4795155,52.42190145000001,0.4855185,54.48928869,-0.012441172911809765,-0.038679673948608446
50,4,2.5,random,HM,latent,0.46181475,45.22649416,0.47088749999999996,51.553985080000004,-0.01945537533900782,-0.13094644351637977
50,4,2.5,random,HT1,clamped,1.35682575,165.49506297,1.38120225,170.90389642,-0.01780635119643226,-0.032160025901319354
50,4,2.5,random,HT1,latent,1.20707475,150.28668661,1.31297925,164.19902832,-0.08409892108860385,-0.08853456527961417
50,4,2.5,random,HT2,clamped,1.01937525,125.7559437,1.00589175,125.76410935,0.013315478127401132,-6.493040935575749e-05
50,4,2.5,random,HT2,latent,0.857256,107.61732699,0.9680265,122.11235379,-0.12152287249127272,-0.12635988737074522
50,4,2.5,scurve,HM,clamped,1.0421727,11.17271379,1.01267055,11.15503592,0.028716718303693337,0.001583489059439765
50,4,2.5,scurve,HM,latent,0.83109274,11.075526199999999,0.90681421,11.14129995,-0.08719619989030142,-0.005921092573813055
50,4,2.5,scurve,HT1,clamped,0.61263924,11.09246387,0.66696472,11.12848769,-0.08496090376804818,-0.0032423320362086443
50,4,2.5,scurve,HT1,latent,1.15716124,11.45181358,1.1943800199999999,11.48829716,-0.03165744012198282,-0.003180770238914983
50,4,2.5,scurve,HT2,clamped,0.45547947,11.05563027,0.5011474,11.07591507,-0.09554962505586785,-0.0018331124527116427
50,4,2.5,scurve,HT2,latent,1.01572876,11.392207,1.04420388,11.416836980000001,-0.027648412740756922,-0.002159668734454232
50,4,2.5,sharp,HM,clamped,0.44752875000000003,1.35735539,0.46614975000000003,1.20414055,-0.040766152973211255,0.11977216449415684
50,4,2.5,sharp,HM,latent,0.35254125000000003,1.48458037,0.42038325,1.2457326,-0.17599915851991838,0.17540836260471349
50,4,2.5,sharp,HT1,clamped,0.8473845,3.5195632999999997,0.9138525,2.40338054,-0.07551463309406367,0.3814606148141122
50,4,2.5,sharp,HT1,latent,0.81888975,2.5973463299999997,0.8038065,1.4670853199999998,0.018590890835881904,0.5712126245308593
50,4,2.5,sharp,HT2,clamped,0.5017192500000001,2.2860046,0.6007095,1.4670273800000002,-0.18007075631603153,0.443567414692374
50,4,2.5,sharp,HT2,latent,0.637149,1.9096567199999999,0.6763275,1.14016905,-0.05967388901419153,0.5157469572705891
50,4,2.5,zigzag,HM,clamped,0.80614267,25.73964571,0.7747730300000001,25.757024849999997,0.03969061482374727,-0.0006749617196916157
50,4,2.5,zigzag,HM,latent,0.63402475,25.58114725,0.72143147,25.6236992,-0.12914939949764456,-0.0016620286064833478
50,4,2.5,zigzag,HT1,clamped,0.8511747599999999,25.901524199999997,1.0462580099999998,26.130520299999997,-0.2063578117962531,-0.008802174918066714
